latitude,longitude,elevation,speed_measured,timestamp,discipline_from_name,tf_id
46.5000973,8.3018529,1353.101,28.5,20240127T120240200000,XC,11783
46.5000913,8.3018477,1353.078,28.1,20240127T120240300000,XC,11783
46.5000845,8.3018432,1353.073,28.6,20240127T120240400000,XC,11783
46.5000776,8.3018397,1353.132,28.6,20240127T120240500000,XC,11783
46.5000709,8.3018358,1353.206,28.8,20240127T120240600000,XC,11783
46.5000648,8.3018324,1353.308,27.9,20240127T120240700000,XC,11783
46.500058,8.3018285,1353.375,28.7,20240127T120240800000,XC,11783
46.5000514,8.3018248,1353.356,28.3,20240127T120240900000,XC,11783
46.5000444,8.3018208,1353.328,28.8,20240127T120241000000,XC,11783
46.5000381,8.3018167,1353.282,27.9,20240127T120241100000,XC,11783
46.5000306,8.3018131,1353.251,29.1,20240127T120241200000,XC,11783
46.5000236,8.3018108,1353.274,28.6,20240127T120241300000,XC,11783
46.5000164,8.3018081,1353.313,29.1,20240127T120241400000,XC,11783
46.5000102,8.3018057,1353.463,28.1,20240127T120241500000,XC,11783
46.5000033,8.3018033,1353.557,28.5,20240127T120241600000,XC,11783
46.4999966,8.3018009,1353.663,28.5,20240127T120241700000,XC,11783
46.4999893,8.3017975,1353.625,29.2,20240127T120241800000,XC,11783
46.4999824,8.3017945,1353.538,28.6,20240127T120241900000,XC,11783
46.4999751,8.3017919,1353.547,29.2,20240127T120242000000,XC,11783
46.4999682,8.3017902,1353.587,28.7,20240127T120242100000,XC,11783
46.4999614,8.3017885,1353.705,28.7,20240127T120242200000,XC,11783
46.4999547,8.3017873,1353.809,28.3,20240127T120242300000,XC,11783
46.4999482,8.3017859,1353.921,27.8,20240127T120242400000,XC,11783
46.499941,8.3017843,1353.961,28.4,20240127T120242500000,XC,11783
46.4999337,8.3017828,1354.0,28.9,20240127T120242600000,XC,11783
46.4999268,8.3017812,1353.912,27.9,20240127T120242700000,XC,11783
46.4999193,8.3017799,1353.879,28.7,20240127T120242800000,XC,11783
46.4999117,8.3017791,1353.772,29.0,20240127T120242900000,XC,11783
46.4999047,8.3017791,1353.875,28.8,20240127T120243000000,XC,11783
46.4998975,8.3017796,1353.987,29.0,20240127T120243100000,XC,11783
46.4998912,8.30178,1354.073,27.4,20240127T120243200000,XC,11783
46.4998842,8.3017804,1354.228,28.1,20240127T120243300000,XC,11783
46.4998769,8.3017809,1354.232,28.5,20240127T120243400000,XC,11783
46.4998698,8.3017808,1354.207,28.4,20240127T120243500000,XC,11783
46.4998627,8.3017809,1354.098,27.9,20240127T120243600000,XC,11783
46.4998553,8.3017821,1354.086,28.8,20240127T120243700000,XC,11783
46.4998484,8.3017841,1354.077,28.5,20240127T120243800000,XC,11783
46.4998415,8.3017866,1354.227,28.9,20240127T120243900000,XC,11783
46.499835,8.3017892,1354.377,28.6,20240127T120244000000,XC,11783
46.4998285,8.3017913,1354.444,27.7,20240127T120244100000,XC,11783
46.4998218,8.3017937,1354.493,27.9,20240127T120244200000,XC,11783
46.4998145,8.3017958,1354.411,28.4,20240127T120244300000,XC,11783
46.4998075,8.3017982,1354.361,28.4,20240127T120244400000,XC,11783
46.4998003,8.3018003,1354.298,28.6,20240127T120244500000,XC,11783
46.4997931,8.3018037,1354.274,29.5,20240127T120244600000,XC,11783
46.4997865,8.3018074,1354.349,29.3,20240127T120244700000,XC,11783
46.4997802,8.3018112,1354.462,28.8,20240127T120244800000,XC,11783
46.4997739,8.3018146,1354.54,27.9,20240127T120244900000,XC,11783
46.499768,8.3018184,1354.563,27.2,20240127T120245000000,XC,11783
46.4997613,8.301822,1354.577,27.7,20240127T120245100000,XC,11783
46.4997544,8.3018258,1354.491,28.4,20240127T120245200000,XC,11783
46.4997474,8.3018292,1354.404,28.6,20240127T120245300000,XC,11783
46.4997411,8.3018335,1354.381,28.5,20240127T120245400000,XC,11783
46.4997345,8.3018383,1354.389,29.1,20240127T120245500000,XC,11783
46.4997289,8.3018435,1354.45,28.4,20240127T120245600000,XC,11783
46.4997233,8.3018488,1354.6,27.9,20240127T120245700000,XC,11783
46.4997179,8.3018536,1354.672,27.0,20240127T120245800000,XC,11783
46.4997123,8.3018587,1354.676,26.9,20240127T120245900000,XC,11783
46.499706,8.3018642,1354.624,28.1,20240127T120246000000,XC,11783
46.4996996,8.3018691,1354.473,28.2,20240127T120246100000,XC,11783
46.4996937,8.3018746,1354.481,28.4,20240127T120246200000,XC,11783
46.4996874,8.3018791,1354.447,27.9,20240127T120246300000,XC,11783
46.4996807,8.3018828,1354.58,27.7,20240127T120246400000,XC,11783
46.4996747,8.3018864,1354.734,27.0,20240127T120246500000,XC,11783
46.4996693,8.30189,1354.822,25.7,20240127T120246600000,XC,11783
46.4996621,8.3018942,1354.878,27.9,20240127T120246700000,XC,11783
46.4996555,8.3018986,1354.787,28.4,20240127T120246800000,XC,11783
46.4996491,8.3019033,1354.695,28.6,20240127T120246900000,XC,11783
46.4996431,8.3019082,1354.703,28.1,20240127T120247000000,XC,11783
46.4996374,8.3019138,1354.785,28.0,20240127T120247100000,XC,11783
46.4996328,8.3019193,1354.928,26.7,20240127T120247200000,XC,11783
46.499628,8.3019243,1355.098,25.4,20240127T120247300000,XC,11783
46.4996233,8.3019294,1355.173,24.8,20240127T120247400000,XC,11783
