latitude,longitude,elevation,speed_measured,timestamp,discipline_from_name,tf_id
46.5001215,8.3018592,1350.338,30.9,20240127T144208700000,XC,11783
46.5001162,8.3018514,1350.652,31.4,20240127T144208800000,XC,11783
46.5001112,8.3018435,1350.653,30.0,20240127T144208900000,XC,11783
46.5001061,8.301835,1350.624,30.3,20240127T144209000000,XC,11783
46.5001009,8.3018275,1350.699,29.8,20240127T144209100000,XC,11783
46.5000951,8.3018205,1350.631,29.5,20240127T144209200000,XC,11783
46.5000891,8.3018139,1350.644,29.6,20240127T144209300000,XC,11783
46.5000826,8.3018083,1350.746,29.8,20240127T144209400000,XC,11783
46.5000763,8.3018026,1350.83,29.9,20240127T144209500000,XC,11783
46.5000698,8.3017972,1350.919,30.0,20240127T144209600000,XC,11783
46.5000638,8.3017911,1350.923,29.8,20240127T144209700000,XC,11783
46.5000573,8.3017851,1350.863,29.9,20240127T144209800000,XC,11783
46.5000516,8.3017792,1350.839,29.2,20240127T144209900000,XC,11783
46.5000438,8.3017732,1350.815,31.0,20240127T144210000000,XC,11783
46.5000366,8.301768,1350.786,31.0,20240127T144210100000,XC,11783
46.5000292,8.3017638,1350.866,31.3,20240127T144210200000,XC,11783
46.5000224,8.3017599,1351.038,31.0,20240127T144210300000,XC,11783
46.5000157,8.3017558,1351.107,30.6,20240127T144210400000,XC,11783
46.5000087,8.3017527,1351.209,30.4,20240127T144210500000,XC,11783
46.5000018,8.3017491,1351.276,30.2,20240127T144210600000,XC,11783
46.4999944,8.3017453,1351.292,30.6,20240127T144210700000,XC,11783
46.4999866,8.3017419,1351.242,31.0,20240127T144210800000,XC,11783
46.4999791,8.301738,1351.199,31.1,20240127T144210900000,XC,11783
46.4999716,8.301735,1351.283,31.4,20240127T144211000000,XC,11783
46.4999643,8.3017326,1351.42,31.3,20240127T144211100000,XC,11783
46.499957,8.3017293,1351.478,31.2,20240127T144211200000,XC,11783
46.49995,8.3017264,1351.562,30.7,20240127T144211300000,XC,11783
46.4999428,8.3017227,1351.511,30.3,20240127T144211400000,XC,11783
46.4999349,8.3017195,1351.494,31.1,20240127T144211500000,XC,11783
46.499927,8.3017175,1351.508,31.4,20240127T144211600000,XC,11783
46.4999187,8.3017165,1351.591,32.3,20240127T144211700000,XC,11783
46.4999107,8.3017165,1351.721,32.8,20240127T144211800000,XC,11783
46.4999036,8.3017172,1351.86,31.9,20240127T144211900000,XC,11783
46.4998962,8.3017172,1351.965,31.5,20240127T144212000000,XC,11783
46.4998886,8.3017168,1351.875,30.6,20240127T144212100000,XC,11783
46.4998813,8.3017166,1351.715,29.5,20240127T144212200000,XC,11783
46.4998732,8.3017168,1351.567,30.2,20240127T144212300000,XC,11783
46.4998654,8.3017185,1351.479,30.8,20240127T144212400000,XC,11783
46.4998577,8.3017204,1351.528,31.3,20240127T144212500000,XC,11783
46.4998507,8.3017222,1351.618,30.5,20240127T144212600000,XC,11783
46.4998434,8.3017241,1351.865,31.0,20240127T144212700000,XC,11783
46.4998359,8.301726,1351.878,30.9,20240127T144212800000,XC,11783
46.4998286,8.3017274,1351.721,29.8,20240127T144212900000,XC,11783
46.4998208,8.3017287,1351.491,29.7,20240127T144213000000,XC,11783
46.4998131,8.3017314,1351.338,30.4,20240127T144213100000,XC,11783
46.4998058,8.301735,1351.34,31.1,20240127T144213200000,XC,11783
46.4997991,8.3017386,1351.437,30.5,20240127T144213300000,XC,11783
46.4997927,8.3017425,1351.614,30.2,20240127T144213400000,XC,11783
46.4997869,8.3017463,1351.771,28.9,20240127T144213500000,XC,11783
46.49978,8.3017495,1351.773,29.0,20240127T144213600000,XC,11783
46.4997726,8.3017529,1351.738,29.8,20240127T144213700000,XC,11783
